agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_1,35,58,clear,1,211,,0,,0,,[],,,,"[[34, 57], [34, 58], [34, 59], [35, 57], [35, 59], [36, 57], [36, 58], [36, 59]]"
explorer_1,34,58,clear,1,211,,0,,0,,[],,,,"[[33, 57], [33, 58], [33, 59], [34, 57], [34, 59], [35, 57], [35, 58], [35, 59]]"
explorer_1,35,59,clear,1,192,,1,173,1,90,"[174.0, 42.0, 1.0, 0.0, 0.0, 38.0, 32.411521579492906, 0.0, 3.0, 1.0, 3.0, 5.0, 3.0]",,,,"[[34, 58], [34, 59], [34, 60], [35, 58], [35, 60], [36, 58], [36, 59], [36, 60]]"
explorer_1,34,59,clear,1,185,,1,172,1,89,"[173.0, 28.0, 99.0, 13.0, 131.0, 98.0, 36.471529081774804, 1.0, 0.0, 1.0, 0.0, 15.0, 0.0]",,,,"[[33, 58], [33, 59], [33, 60], [34, 58], [34, 60], [35, 58], [35, 59], [35, 60]]"
explorer_1,33,59,clear,1,211,,0,,0,,[],,,,"[[32, 58], [32, 59], [32, 60], [33, 58], [33, 60], [34, 58], [34, 59], [34, 60]]"
explorer_1,33,58,clear,1,211,,0,,0,,[],,,,"[[32, 57], [32, 58], [32, 59], [33, 57], [33, 59], [34, 57], [34, 58], [34, 59]]"
explorer_1,32,59,clear,1,216,,0,,0,,[],,,,"[[31, 58], [31, 59], [31, 60], [32, 58], [32, 60], [33, 58], [33, 59], [33, 60]]"
explorer_1,32,58,clear,1,213,,0,,0,,[],,,,"[[31, 57], [31, 58], [31, 59], [32, 57], [32, 59], [33, 57], [33, 58], [33, 59]]"
explorer_1,32,57,clear,1,213,,0,,0,,[],,,,"[[31, 56], [31, 57], [31, 58], [32, 56], [32, 58], [33, 56], [33, 57], [33, 58]]"
explorer_1,33,60,clear,1,217,,0,,0,,[],,,,"[[32, 59], [32, 60], [32, 61], [33, 59], [33, 61], [34, 59], [34, 60], [34, 61]]"
explorer_1,32,60,clear,0,219,,0,,0,,[],,,,[]
explorer_1,31,60,clear,1,220,,0,,0,,[],,,,"[[30, 59], [30, 60], [30, 61], [31, 59], [31, 61], [32, 59], [32, 60], [32, 61]]"
explorer_1,31,59,clear,1,216,,0,,0,,[],,,,"[[30, 58], [30, 59], [30, 60], [31, 58], [31, 60], [32, 58], [32, 59], [32, 60]]"
explorer_1,31,58,clear,1,214,,0,,0,,[],,,,"[[30, 57], [30, 58], [30, 59], [31, 57], [31, 59], [32, 57], [32, 58], [32, 59]]"
explorer_1,34,60,clear,1,186,,0,,0,,[],,,,"[[33, 59], [33, 60], [33, 61], [34, 59], [34, 61], [35, 59], [35, 60], [35, 61]]"
explorer_1,34,61,clear,1,189,,0,,0,,[],,,,"[[33, 60], [33, 61], [33, 62], [34, 60], [34, 62], [35, 60], [35, 61], [35, 62]]"
explorer_1,33,61,clear,0,218,,0,,0,,[],,,,[]
explorer_1,32,61,clear,1,254,,0,,0,,[],,,,"[[31, 60], [31, 61], [31, 62], [32, 60], [32, 62], [33, 60], [33, 61], [33, 62]]"
explorer_1,35,60,clear,1,190,,0,,0,,[],,,,"[[34, 59], [34, 60], [34, 61], [35, 59], [35, 61], [36, 59], [36, 60], [36, 61]]"
explorer_1,36,59,clear,1,192,,0,,0,,[],,,,"[[35, 58], [35, 59], [35, 60], [36, 58], [36, 60], [37, 58], [37, 59], [37, 60]]"
explorer_1,36,60,clear,1,191,,0,,0,,[],,,,"[[35, 59], [35, 60], [35, 61], [36, 59], [36, 61], [37, 59], [37, 60], [37, 61]]"
explorer_1,37,58,clear,0,194,,0,,0,,[],,,,[]
explorer_1,37,59,clear,1,192,,0,,0,,[],,,,"[[36, 58], [36, 59], [36, 60], [37, 58], [37, 60], [38, 58], [38, 59], [38, 60]]"
explorer_1,37,60,clear,1,191,,0,,0,,[],,,,"[[36, 59], [36, 60], [36, 61], [37, 59], [37, 61], [38, 59], [38, 60], [38, 61]]"
explorer_1,38,59,clear,1,191,,0,,0,,[],,,,"[[37, 58], [37, 59], [37, 60], [38, 58], [38, 60], [39, 58], [39, 59], [39, 60]]"
explorer_1,38,60,clear,1,191,,0,,0,,[],,,,"[[37, 59], [37, 60], [37, 61], [38, 59], [38, 61], [39, 59], [39, 60], [39, 61]]"
explorer_1,38,61,clear,1,110,,0,,0,,[],,,,"[[37, 60], [37, 61], [37, 62], [38, 60], [38, 62], [39, 60], [39, 61], [39, 62]]"
explorer_1,37,61,clear,0,190,,0,,0,,[],,,,[]
explorer_1,36,61,clear,1,190,,0,,0,,[],,,,"[[35, 60], [35, 61], [35, 62], [36, 60], [36, 62], [37, 60], [37, 61], [37, 62]]"
explorer_1,39,59,clear,1,102,,0,,0,,[],,,,"[[38, 58], [38, 59], [38, 60], [39, 58], [39, 60], [40, 58], [40, 59], [40, 60]]"
